mathematics-statistics,107,Mathematical Reasoning in the Elementary Grades: Number Systems,"b'ms, whole number, decimal and fraction concepts and  operations, and number theory. Non-SED students by signed permission only. Does not satisfy  CAS Divisional Studies or Math/Stat major.'"
mathematics-statistics,108,"Mathematical Reasoning in the Elementary Grades: Algebra, Geometry, and Statistics","b'ra, geometry, measurement, and statistics.  Non-SED students by signed permission only. Does not satisfy CAS Divisional Studies or Math/Stat major.'"
mathematics-statistics,109,The Art and Science of Quantitative Reasoning,"b'sible without mathematics, statistics, and computer science.  Focuses on methods of reasoning common to these disciplines, and how they enable the modern world. Also offered as CAS CS 109. Carries MCS divisional credit in CAS.'"
mathematics-statistics,113,Elementary Statistics ,b'and multiple-sample problems. Applications will be in social sciences  and students will be able to answer understand the basics of using a sample to  predict uncertainty. Carries MCS divisional credit in CAS. This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'
mathematics-statistics,115,STATISTICS I,"b'bility, random variables, binomial distribution, normal distribution. One- sample statistical inference for normal means and binomial probabilities.  Primarily for students in the social sciences with limited mathematics  preparation.Carries MCS divisional credit in CAS. This course fulfills a single  unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,116,Statistics II,"b'e- or two- sample inference for unknown means, proportions and variances, categorical data  analysis, introduction to design of experiments and analysis of variance,  analysis of simple and multiple linear regression models, non-parametric  methods. Carries MCS divisional credit in CAS. This course fulfills a single  unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,118,College Algebra and Trigonometry,b'igher. Functions and graphs. Linear and quadratic  equations. Exponents; logarithms. Right and oblique triangles; trigonometric  functions. Optimization. Specifically intended to prepare students with  insufficient background in mathematics for the study of calculus. This course  may not be used in fulfillment of the divisional studies requirement. Satisfies  the mathematics requirement in the College program. This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning I.'
mathematics-statistics,119,Applied Mathematics for Personal Finance,"b'ctions, logarithms, probability, descriptive  statistics, and numerical simulation,   for modeling saving, borrowing,  inflation, purchasing power, taxation, government benefits, risk   management,  insurance, annuities, and investments. Carries MCS divisional credit in CAS.  This  course fulfills a single unit in each of  the following BU Hub areas:  Social Inquiry I, Quantitative  Reasoning I. This course also fulfills the  learning outcomes for Life Skills.'"
mathematics-statistics,120,Applied Mathematics for Social and Management Sciences,"b'rom Linear equations, systems of  linear equations, matrix algebra, exponential functions and logarithms,  elements of differential calculus, optimization, probability. Some sections  focus on applications in economics, finance, and management. Satisfies both  mathematics requirement and divisional studies requirement. Carries MCS  divisional credit in CAS. This course fulfills a single unit in the following  BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,121,Calculus for the Life and Social Sciences I,b's on mathematical generality and more on  applications. Especially suitable for students concentrating in the biological  and social sciences. Carries MCS Divisional credit in CAS This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'
mathematics-statistics,122,Calculus for the Life and Social Sciences II,"b', MA 127 or MA 129. Continuation of CAS MA 121. Review of  univariate calculus, calculus of the elementary transcendental functions,  elementary differential equations, elementary multivariate calculus.  Applications to exponential growth, optimization, equilibrium, and dynamic  modeling problems. Carries MCS divisional credit in CAS This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,123,Calculus I,"b'.  Applications to maxima, minima, and convexity of functions. The definite  integral; the fundamental theorem of integral calculus. Carries MCS divisional  credit in CAS. This course fulfills a single unit in the following BU Hub area:  Quantitative Reasoning II.'"
mathematics-statistics,124,Calculus II,"b""wing courses: CAS  MA 122, MA 124, MA 127, or MA 129. Logarithmic, exponential, and trigonometric  functions. Sequences and series; Taylor's series with the remainder. Methods of  integration. Calculus I and II together constitute an introduction to calculus  of a function of a single real variable. Carries MCS divisional credit in CAS.  This course fulfills a single unit in the following BU Hub area: Quantitative  Reasoning II."""
mathematics-statistics,127,Enriched Calculus,"b'ourses: CAS MA 122, MA 124, MA 127, or MA 129. For students with prior experience in calculus. Emphasizes material from the end of Calculus 2 (sequences, Taylor series), reviews more challenging problems from Calculus 1. Carries MCS divisional credit in CAS.'"
mathematics-statistics,129,Honors Calculus,"b'courses: CAS MA 122, MA 124, MA 127, or MA 129. Alternative to CAS MA 127 for advanced students with a deep interest in mathematics. Continuity, degrees of differentiability, integrability. Transcendental functions. Techniques of differentiation and integration. Sequences, series, summability, uniform convergence. Complex numbers, Taylor series. Application to mechanics, probability. Carries MCS divisional credit in CAS.'"
mathematics-statistics,150,Investigations in Geometry,"b'vestigate topics in Euclidean and non-Euclidean geometry starting from  basic elementary material and leading to an overview of current research topics.  Does not satisfy MCS Divisional requirement. Does satisfy CAS WR 150 requirement.  This course fulfills a single unit in each of the following BU Hub areas:  Quantitative Reasoning II, Writing: Research &amp; Inquiry, Research and Information  Literacy.'"
mathematics-statistics,193,Discrete Mathematics for Engineering,b'phasis on applications to the engineering discipline. (Cannot be taken for credit in addition to CAS MA 293.)'
mathematics-statistics,213,Basic Statistics and Probability,"b'pendence, the central limit theorem, confidence intervals, and p-values.  Students will be able to answer questions such as how can a pollster use a  sample to predict the uncertainty of an election? Carries MCS divisional credit  in CAS. This course fulfills a single unit in each of the following BU Hub  areas: Quantitative Reasoning II, Teamwork/Collaboration.'"
mathematics-statistics,214,Applied Statistics,"b'n,  tests for normality; two-sample comparisons, regression and correlation,  tests for linearity and outliers, residual analysis, contingency tables,  analysis of variance. Carries MCS divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Quantitative  Reasoning II, Teamwork/Collaboration.'"
mathematics-statistics,225,Multivariate Calculus,"b""coordinates. Partial derivatives, directional derivatives, scalar and vector  fields, the gradient, potentials, approximation, multivariate minimization,  Stokes's and related theorems. (Cannot be taken for credit in addition to CAS  MA 230.) This course fulfills a single unit in the following BU Hub area:  Quantitative Reasoning II."""
mathematics-statistics,226,Differential Equations,b'rst-order systems. Linear equations and linearization. Numerical and qualitative analysis. Laplace transforms. Applications and modeling of real phenomena throughout. (Cannot be taken for credit in addition to CAS MA 231.)'
mathematics-statistics,230,Honors-Level Vector Calculus,"b""ucts. Differentiation: tangent spaces, directional derivatives, gradients, vector fields and flow, divergence, curl. Integration: multiple integrals, line integrals, Green's theorem, surface integrals, Stokes's theorem, the divergence theorem.  (Cannot be taken for credit in addition to CAS MA 225.)"""
mathematics-statistics,231,Honors-Level Differential Equations,"b""First- and second-order equations, linear and nonlinear systems, Sturm-Louisville problems, vibrating strings, special functions, power series solutions, regular singular points, Laplace transforms, calculus of variations, isoperimetric problems, and Hamilton's principle. (Cannot be taken for credit in addition to CAS MA 226.)"""
mathematics-statistics,242,Linear Algebra,"b'ndamental  theory, row-echelon form. Vector spaces, bases, norms. Computer methods. Eigenvalues and  eigenvectors, canonical decomposition. Applications. (Cannot be taken for credit in addition to  CAS MA 142, MA 442, or ENG EK 103.)'"
mathematics-statistics,293,Discrete Mathematics,b'theory. Combinatorics with applications.'
mathematics-statistics,294,Applied Abstract Algebra,"b'groups, rings, and fields via  significant combinatorial applications. Students who have already received credit for MA 541 or MA 542  may not subsequently receive credit for MA 294.'"
mathematics-statistics,341,Introduction to Number Theory,"b'hantine equations, prime numbers and factorization, congruences, and quadratic reciprocity.'"
mathematics-statistics,411,Advanced Calculus,"b""lications. Topics include higher dimensional calculus, applications of vector analysis, uniform convergence of series, complex series, improper integrals, gamma and beta functions, Stirling's formula, Fourier series and transform."""
mathematics-statistics,412,Complex Variables,"b'sis on computation and applications. Complex plane and functions, differentiability, Cauchy-Riemann conditions, contour integrals, Cauchy formulas, complex series, residue calculus, applications. Extends the concepts of the calculus to the complex setting.'"
mathematics-statistics,415,Data Science in R,"b'cians. Emphasis on data exploration, statistical analysis, problem solving, reproducibility, and multimedia delivery.'"
mathematics-statistics,416,Analysis of Variance,"b'luding crossed and nested designs, as well as fixed- and random- effect models. Trend analysis for repeated measures, expected mean squares, and non-parametric techniques. SAS is used throughout the course.'"
mathematics-statistics,442,Honors Level Linear Algebra,"b'r equations; matrices, linear transformations, duality; determinants, characteristic and minimal polynomials; diagonalization and normal forms of linear transformations; inner products, unitary and self-adjoint operators, and spectral theory. Applications to physics, probability, and statistics. (Cannot be taken for credit in addition to CAS MA 242.)'"
mathematics-statistics,471,Chaotic Dynamical Systems,b'olicity; recurrence; topological conjugacy and structural stability; chaotic dynamics. Some numerical experimentation involving personal computers.'
mathematics-statistics,505,History of Mathematics,"b'Assuming background in modern mathematics, its roots are systematically  pursued in terms of modern techniques, structures, and results. Providing  the emergence of mathematical concepts and procedures, a coherent, unifying  view of number, geometry, algebra, calculus, and mathematical analysis is  presented. This course fulfills a single unit in the following BU Hub area:  Historical Consciousness.'"
mathematics-statistics,511,Introduction to Analysis I,"b'of mathematical reasoning. Properties of the real-number system, elementary point-set theory, metric spaces. Limits, sequences, series, convergence, uniform convergence, continuity. Differentiability for functions of a single variable, Riemann-Stieltjes integration.'"
mathematics-statistics,512,Introduction to Analysis II,"b""elop further topics of calculus. Exponential and logarithmic functions, Taylor series, power series, real analytic functions. Differential and integral calculus for functions of several variables. Line and surface integrals, divergence theorem, Stokes's theorem, inverse and implicit function theorems, change of variables. Fourier analysis."""
mathematics-statistics,528,Introduction to Modern Geometry,"b""The foundations of Euclidean geometry. Transformation and symmetries in the plane, inversive and projective planes, coordinates, conics and quadrics, the Golden Section, intermediary and Dedekind's axiom, models for non-Euclidean geometries."""
mathematics-statistics,531,Mathematical Logic,"b""he investigation of logical reasoning with mathematical methods. The syntax  and semantics of sentential logic and quantificational logic. The unifying  Godel Completeness Theorem, and models of theories. A look at the Godel  Incompleteness Theorem and its ramifications. This course fulfills a single  unit in the following BU Hub area: Philosophical Inquiry and Life's Meanings."""
mathematics-statistics,532,Foundations of Mathematics,"b'atics: Axiom of Choice, the  Continuum Hypothesis, and consistency results. Also offered as CAS PH 461.'"
mathematics-statistics,541,Modern Algebra I,"b'clidean rings, polynomial rings.'"
mathematics-statistics,542,Modern Algebra II,"b'cal forms, bilinear and quadratic forms.'"
mathematics-statistics,555,Numerical Analysis I,"b'ions of equations, iterative methods, analysis of sequences. Theory of interpolation and functional approximation, divided differences. Numerical differentiation and integration. Polynomial theory. Ordinary differential equations.'"
mathematics-statistics,556,Numerical Analysis II,"b'<br/>\n                \t\t\tNumerical linear algebra; norms, elimination methods, error analysis, conditioning, eigenvalues, iterative methods, least squares and nonlinear functional minimization. Partial differentiation equation boundary value and initial value problems. Finite element methods. Legendre and Chebyshev polynomials. Treatment in greater depth of selected topics from CAS MA 555.'"
mathematics-statistics,561,Methods of Applied Mathematics I,"b'the classical equations of mathematical physics; heat equation, wave equation, and potential equation. Initial boundary value problems, method of separation of variables, eigenvalue problems, eigenfunction expansions. Fourier analysis. Existence and uniqueness of solution.'"
mathematics-statistics,562,Methods of Applied Mathematics II,"b'near partial differential equations, Hamilton-Jacobi theory, Rayleigh-Ritz procedure, perturbation methods.'"
mathematics-statistics,563,Introduction to Differential Geometry,"b'e; curvature, torsion, Frenet equations, tangent and normal planes; first and second fundamental form; developable surfaces, principal, mean and Gaussian curvature; vector fields, covariant differentiation, geodesics, surfaces of constant curvature.'"
mathematics-statistics,564,Introduction to Topology,"b""ntinuity. Compactness and connectedness. Metrizable topological spaces. Product topology and Tychonoff's theorem. The fundamental group and van Kampen's theorem. Covering spaces and the universal cover."""
