anthropology,101,Introduction to Cultural Anthropology,"b'e study of both traditional and complex societies.  Special attention to the organization and meaning of religion, economic life,  kinship and political order; and the problem of cultural variation in the  contemporary world. Carries social science divisional credit in CAS. This  course fulfills a single unit in each of the following BU Hub areas: Social  Inquiry I, Global Citizenship and Intercultural Literacy, Research and  Information Literacy.'"
anthropology,102,"Human Biology, Behavior, and Evolution","b', and the evolution of primate and human behavior  and adaptions. Laboratory sections include examination of fossil and skeletal  material, and hands-on projects involving human and primate behavior and  biology. Carries natural science divisional credit (with lab) in CAS. This  course fulfills a single unit in each of the following BU Hub areas: Scientific  Inquiry I, Social Inquiry I, Critical Thinking.'"
anthropology,103,Anthropology Through Ethnography,"b'me, as  well as the social processes that shape   individuals. Seminar-style introduction to social anthropology  through   reading of ethnography, with discussion and debate. (Equivalent to CAS AN   101.)  Carries social  science divisional credit in CAS. This course  fulfills  a single unit in each of the following BU Hub areas: Social Inquiry  I,  Individual in Community, Critical Thinking.'"
anthropology,210,Introduction to Medical Anthropology,"b'es to introduce students to socio-cultural  anthropological modes of understanding and analyzing health-related experiences  and institutions, including political and ethical dimensions of illness and  suffering around the globe. This course fulfills a single unit in each of the  following BU Hub areas: Social Inquiry II, Ethical Reasoning, Research and  Information Literacy.'"
anthropology,211,Humans Among Animals,"b'ation, and ways we humans in varied cultures and societies use animals for  interaction and self-understanding. The approach is interdisciplinary, considering language,  aesthetics, ideology, practice, and regulation.'"
anthropology,220,Urban Anthropology,"b'm records of the past and from current description in all world areas; contrasting social processes under different historical, geographical, political, and economic circumstances.'"
anthropology,233,The Evolutionary Biology of Human Variation,"b'theory, and genetics and considers how  research in these fields informs some of our most culturally-engaged  identities: race, sex, gender, sexuality, and body type. Carries natural  sciences divisional credit (without lab) in CAS. Also offered as CAS WS 233.  This course fulfills a single unit in each of the following BU Hub areas:  Scientific Inquiry I, Ethical Reasoning, Critical Thinking.'"
anthropology,234,Evolutionary Psychology,"b'iewing humans as products of biological evolution. Topics include  evolution of language and intelligence, cultural evolution, sex and  reproduction, kinship and family dynamics, cooperation, aggression, warfare,  and status. This course fulfills a single unit in each of the following BU Hub  areas: Scientific Inquiry I, Social Inquiry I.'"
anthropology,240,Legal Anthropology,"b'onship among society,  culture, and law focuses on how different societies generate and structure competition and conflict.  Examines the range of social and symbolic mechanisms for regulating dispute. (Counts towards African  Studies minor.) Carries social science divisional credit in CAS.'"
anthropology,243,Shamans and Shamanism,b'ory of shamanism. Modern theories and debates about the category and the appropriateness of applying it cross-culturally. Also offered as CAS RN 243.'
anthropology,252,Ethnicity and Identity,"b'tudies from the South Pacific, Europe, North America, and  Africa.  Special attention paid to how contemporary economic and political  changes  impact the ways people think about and belong to communities.  Carries social  science divisional credit in CAS. This course fulfills a  single unit in each of  the following BU Hub areas: The Individual in  Community, Global Citizenship and  Intercultural Literacy.'"
anthropology,260,Sex and Gender in Anthropological Perspective,"b""political, and ideological determinants that structure the hierarchy of power and privileges accorded  the thoughts, activities, and experiences of women and men in various societies. (Counts towards the  Women's, Gender, &amp; Sexuality Studies minor.) Carries social science divisional credit in CAS."""
anthropology,263,The Behavioral Biology of Women,"b""aspects of women's lives from puberty through  pregnancy, birth, lactation, menopause, and aging. Examples are drawn from  traditional and industrialized societies, and data from nonhuman primates are  considered. (Counts for Natural Science credit; as a Biology - Specialization  in Behavioral Biology - elective; and towards the Women's, Gender, &amp; Sexuality  Studies minor.) Carries natural science divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Scientific  Inquiry I, Social Inquiry I, Critical Thinking."""
anthropology,285,Coping with Crisis in Contemporary Africa (area),"b'the ways ordinary Africans are coping with problems of  security, environmental degradation, forced migration, economic decline, and  disease. Readings and lectures contrast outsiders\' interpretations of these  ""crises"" with the way they are experienced by those they affect. Staff. 4 cr.  Either sem. This course fulfills a single unit in each of the following BU Hub  areas: Historical Consciousness, Social Inquiry I.'"
anthropology,290,Children and Culture,"b""cs include cultural concepts of childhood; the acquisition of  culture; socialization and moral development; childhood cognition, emotion, and  behavior; children's language and play; and the cultural shaping of gender and  personality. Carries social science divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Social Inquiry I,  Global Citizenship and Intercultural Literacy."""
anthropology,302,Transforming Life: Anthropology of New Medical Technologies,"b'ogically compares the role of science and medicine in  society and   troubles what is natural and moral, e.g., about gender,  personhood, kinship, and   community, using case studies of new reproductive  technologies in Asia, the Middle   East, and North America. This course  fulfills a single unit in each of the following   BU Hub areas: Ethical  Reasoning, Global Citizenship and Intercultural Literacy,   Writing- Intensive Course.'"
anthropology,307,Turkey and Middle East in Comparative Perspective (area),b'tion and socio-economic changes that have occured during the twentieth century and their implications for the future.'
anthropology,308,"Food, Culture, and Society","b""o Asian societies and Boston's food culture. Examines the use of food and cuisine as a focus for identity, national development, and social change."""
anthropology,309,Boston: An Ethnographic Approach (area),"b'ethnographic skills and an understanding of the interplay between geography, history, and demography in   the social mapping of urban spaces.'"
anthropology,310,Studies in North American Ethnography (area),"b'is of the history and contact with Europeans  and governmental policies, and an examination and evaluation of the  contemporary situation. 4 cr. On Demand This course fulfills a single unit in  each of the following BU Hub areas: Historical Consciousness, Social Inquiry I,  Critical Thinking.'"
