classical-studies,101,The World of Greece,"b""Western tradition. Topics covered include the emergence of epic poetry;  art and lyric in the Archaic Age; drama, architecture, philosophy, and  political developments of classical Athens and Greece. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Historical Consciousness, Philosophical Inquiry and  Life's Meanings, Critical Thinking."""
classical-studies,102,The World of Rome,"b'ulture, and art. Discusses their origins, army, family life,  religion, and education, and their legacy in our own time. Carries  humanities divisional credit in CAS. This course fulfills a single unit in  each of the following BU Hub areas: Historical Consciousness, Social Inquiry  I, Critical Thinking.'"
classical-studies,111,Latin 1,b''
classical-studies,112,Latin 2,b''
classical-studies,115,Intensive Latin,b'roductory Latin  sequence (CAS CL 111/112) and covered in a single semester. Completion of this course prepares students  for second-year Latin courses (CAS CL 211/212).'
classical-studies,121,What Is a Good Life? Ancient Wisdom and Modern Insights,"b""on of what constitutes a good  life. Themes include: selfhood and the pursuit of happiness, individualism and  communities, love, and health. This course fulfills a single unit in each of  the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Ethical  Reasoning, Critical Thinking."""
classical-studies,161,Greek 1,b''
classical-studies,162,Greek 2,b'ary.'
classical-studies,202,Warfare in Antiquity,"b'itical, social, and economic factors that shaped or derived from the experience of ancient battle. Carries humanities divisional credit in CAS.'"
classical-studies,205,Origins of Writing,"b'an and Akkadian cuneiform; West Semitic consonantal scripts (abjads);  East Asian scripts; runes; Greek and Roman alphabets. Considerable linguistic  component supplemented by historical information about ancient languages and  cultures. Carries humanities divisional credit in CAS. Also offered as CAS LX  205. This course fulfills a single unit in each of the following BU Hub areas:  Historical Consciousness, Global Citizenship and Intercultural Literacy,  Teamwork/Collaboration.'"
classical-studies,206,Women in Antiquity,"b'of women in the ancient world (Greece, Rome) and beyond, discussing  literature, documentary evidence, works of art and architecture, archaeological  remains, and gender theory. All texts in translation. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Historical Consciousness, Social Inquiry I, Critical  Thinking.'"
classical-studies,211,Latin 3: Prose,"b'Caesar, Cicero, Livy, Petronius, and Pliny.'"
classical-studies,212,Latin 4: Verse,"b'Catullus, Ovid, and Vergil.'"
classical-studies,213,Greek and Roman Mythology,"b'the patterns of experience, both religious and psychological, from which they evolved. Carries humanities divisional credit in CAS.'"
classical-studies,216,Greek and Roman Religion,"b'to the eclipse of paganism. Theories and practices of these  religions, comparisons with other religions, and relationships to Judaism and  Christianity. Cannot be taken for credit in addition to CAS CL 317. Carries  humanities divisional credit in CAS. This course fulfills a single unit in each  of the following BU Hub areas: Historical Consciousness, Social Inquiry I,  Critical Thinking.'"
classical-studies,224,Greek Drama in Translation,"b'f tragedy,  comedy, and satyr drama by Aeschylus, Sophocles, Euripides, Aristophanes, and Menander. Cannot be   taken for credit in addition to CAS CL 324. Carries humanities divisional credit in CAS.'"
classical-studies,228,The History of Medicine in Ancient Greece and Rome,"b'period. It examines developments in  anatomy, pharmacology, psychology and nutrition, and analyzes texts by  important ancient medical thinkers. Cannot be taken for credit in addition to  the course with the same name that was previously numbered CAS CL 328. This  course fulfills a single unit in each of the following BU Hub areas: Historical  Consciousness, Social Inquiry I, Research and Information Literacy.'"
classical-studies,261,Greek 3: Prose,"b'Plato and Lysias, as well as selections  from the New Testament.'"
classical-studies,262,Greek 4: Homer,b''
classical-studies,302,The Age of Augustus,"b', art,  architecture, engineering works, coins, religion, social institutions and life,  the role of women, and life in the Roman provinces. Some familiarity with the  civilization of Ancient Rome recommended. This course fulfills a single unit in  each of the following BU Hub areas: Aesthetic Exploration, Writing-intensive  Course, Research and Information Literacy.'"
