earth-environment,395,Sustainability Science: Earth House Practicum 1,"b'ptions to   enhance sustainability through technology, policy and behavioral change. Propose specific actions toward   achieving the longer-term goal of a carbon-neutral Earth House.'"
earth-environment,396,Sustainability Science: Earth House Practicum 2,"b'ptions to   enhance sustainability through technology, policy and behavioral change. Propose specific actions toward   achieving the longer-term goal of a carbon-neutral Earth House.'"
earth-environment,105,Crises of Planet Earth,"b': natural hazards, including earthquakes and volcanoes; and human  impacts on Earth, including climate change, ozone depletion, pollution, and  increasing demands on mineral and energy resources. Carries natural science  divisional credit (with lab) in CAS. This course fulfills a single unit in each  of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I,  Research and Information Literacy.'"
earth-environment,107,Introduction to Climate and Earth System Science,"b'sphere, and atmosphere subsystems.  Major themes include earth system stability, instability and capacity for  change on all time scales, including human-induced climate change. Carries  natural science divisional credit (with lab) in CAS. This course fulfills a  single unit in each of the following BU Hub areas: Scientific Inquiry I,  Quantitative Reasoning I, Research and Information Literacy.'"
earth-environment,142,Introduction to Beach and Shoreline Processes,"b'island and spit formation; study of beaches,  dunes, and marshes; effects of tectonics, glaciers, and rivers on beaches and  coastal morphology. Cape Cod field trip. Carries natural science divisional  credit (without lab) in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Scientific Inquiry I, Ethical Reasoning, Critical  Thinking.'"
earth-environment,144,Introduction to Oceanography,"b'ith a focus on how the ocean is impacted by and also  moderates the pace of global change. Dynamic nature of the oceans on both a  short- and a long-term scale is emphasized. Carries natural science divisional  credit (without lab) in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Scientific Inquiry I, Ethical Reasoning.'"
earth-environment,300,Earth's Rocky Materials,"b'hases  of the core and mantle. Crustal mineralogy and petrology follow, examining how  minerals and the rocks that contain them are produced by magmatic, metamorphic,  hypothermal, and surface processes. Weekly two-hour labs and a required field  trip. This course fulfills a single unit in each of the following BU Hub areas:  Scientific Inquiry II, Quantitative Reasoning I.'"
earth-environment,305,Rock Deformation and Structure,"b'xt. Emphasizes  identification and analysis of rock structures in hand sample and in the field, collection and interpretation  of 2D and 3D structural data, and synthesis of geologic histories.'"
earth-environment,317,Introduction to Hydrology,"b""s  concerning water as a resource, a hazard, and an integral component of the  Earth's climatic, biological, and geological systems. This course fulfills a  single unit in each of the following BU Hub areas: Scientific Inquiry I,  Quantitative Reasoning I, Teamwork/Collaboration."""
earth-environment,331,Sedimentology,"b'and sedimentary rock; processes that form, transport, and deposit sediments; environments of deposition; diagenesis; methods of analysis. Three hours lecture, three hours lab, and occasional field trips.'"
earth-environment,351,Paleoclimatology and Paleoceanography,"b'ude ice age climates and glaciations; oceanic history; linkages between Arctic and    Antarctic ice sheets; tectonic effects; ice-core, coral, and marine sediment records; El    Ni?o, terrestrial extinctions.'"
earth-environment,371,Introduction to Geochemistry,"b'emical cycles, reactions among solids, liquids, and gases; radioactivity and isotope fractionation; water chemistry; origins of ore deposits; applications of geochemistry to regional and global problems.'"
earth-environment,401,Senior Independent Work,b''
earth-environment,402,Senior Independent Work,b''
earth-environment,423,Marine Biogeochemistry,"b'response to global  change. Links between local and global scales are emphasized. Topics include oceanic  productivity, iron limitation, and oceanic glacial-interglacial biogeochemistry. Three hours  lecture, one hour discussion.'"
earth-environment,440,Marine Geology,"b'in structure and composition of ocean basin throughout the last billion years, and the contribution of oceanic geological processes to the chemistry and biochemistry of earth.'"
earth-environment,443,Terrestrial Biogeochemistry,"b'ial ecosystems. Links between local and global scales are emphasized. Topics include net primary production, nutrient use efficiency, and biogeochemical transformation. Meets with CAS BI 443/643.'"
earth-environment,483,Geodynamics II: Fluids and Fluid Transport,"b""of gases and liquids; surface body forces; statics; flow analysis; continuity and momentum  conservation. Darcy's Law; potential, open channel, and geostrophic flow; dimensional analysis;  diffusion, turbulence. Also offered as CAS GE 483."""
earth-environment,491,Directed Study in Earth Sciences,b''
earth-environment,492,Directed Study in Earth Sciences,b''
