mathematics-statistics,107,Mathematical Reasoning in the Elementary Grades: Number Systems,"b'ms, whole number, decimal and fraction concepts and  operations, and number theory. Non-SED students by signed permission only. Does not satisfy  CAS Divisional Studies or Math/Stat major.'"
mathematics-statistics,108,"Mathematical Reasoning in the Elementary Grades: Algebra, Geometry, and Statistics","b'ra, geometry, measurement, and statistics.  Non-SED students by signed permission only. Does not satisfy CAS Divisional Studies or Math/Stat major.'"
mathematics-statistics,109,The Art and Science of Quantitative Reasoning,"b'sible without mathematics, statistics, and computer science.  Focuses on methods of reasoning common to these disciplines, and how they enable the modern world. Also offered as CAS CS 109. Carries MCS divisional credit in CAS.'"
mathematics-statistics,113,Elementary Statistics ,b'and multiple-sample problems. Applications will be in social sciences  and students will be able to answer understand the basics of using a sample to  predict uncertainty. Carries MCS divisional credit in CAS. This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'
mathematics-statistics,115,STATISTICS I,"b'bility, random variables, binomial distribution, normal distribution. One- sample statistical inference for normal means and binomial probabilities.  Primarily for students in the social sciences with limited mathematics  preparation.Carries MCS divisional credit in CAS. This course fulfills a single  unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,116,Statistics II,"b'e- or two- sample inference for unknown means, proportions and variances, categorical data  analysis, introduction to design of experiments and analysis of variance,  analysis of simple and multiple linear regression models, non-parametric  methods. Carries MCS divisional credit in CAS. This course fulfills a single  unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,118,College Algebra and Trigonometry,b'igher. Functions and graphs. Linear and quadratic  equations. Exponents; logarithms. Right and oblique triangles; trigonometric  functions. Optimization. Specifically intended to prepare students with  insufficient background in mathematics for the study of calculus. This course  may not be used in fulfillment of the divisional studies requirement. Satisfies  the mathematics requirement in the College program. This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning I.'
mathematics-statistics,119,Applied Mathematics for Personal Finance,"b'ctions, logarithms, probability, descriptive  statistics, and numerical simulation,   for modeling saving, borrowing,  inflation, purchasing power, taxation, government benefits, risk   management,  insurance, annuities, and investments. Carries MCS divisional credit in CAS.  This  course fulfills a single unit in each of  the following BU Hub areas:  Social Inquiry I, Quantitative  Reasoning I. This course also fulfills the  learning outcomes for Life Skills.'"
mathematics-statistics,120,Applied Mathematics for Social and Management Sciences,"b'rom Linear equations, systems of  linear equations, matrix algebra, exponential functions and logarithms,  elements of differential calculus, optimization, probability. Some sections  focus on applications in economics, finance, and management. Satisfies both  mathematics requirement and divisional studies requirement. Carries MCS  divisional credit in CAS. This course fulfills a single unit in the following  BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,121,Calculus for the Life and Social Sciences I,b's on mathematical generality and more on  applications. Especially suitable for students concentrating in the biological  and social sciences. Carries MCS Divisional credit in CAS This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'
mathematics-statistics,122,Calculus for the Life and Social Sciences II,"b', MA 127 or MA 129. Continuation of CAS MA 121. Review of  univariate calculus, calculus of the elementary transcendental functions,  elementary differential equations, elementary multivariate calculus.  Applications to exponential growth, optimization, equilibrium, and dynamic  modeling problems. Carries MCS divisional credit in CAS This course fulfills a  single unit in the following BU Hub area: Quantitative Reasoning II.'"
mathematics-statistics,123,Calculus I,"b'.  Applications to maxima, minima, and convexity of functions. The definite  integral; the fundamental theorem of integral calculus. Carries MCS divisional  credit in CAS. This course fulfills a single unit in the following BU Hub area:  Quantitative Reasoning II.'"
mathematics-statistics,124,Calculus II,"b""wing courses: CAS  MA 122, MA 124, MA 127, or MA 129. Logarithmic, exponential, and trigonometric  functions. Sequences and series; Taylor's series with the remainder. Methods of  integration. Calculus I and II together constitute an introduction to calculus  of a function of a single real variable. Carries MCS divisional credit in CAS.  This course fulfills a single unit in the following BU Hub area: Quantitative  Reasoning II."""
mathematics-statistics,127,Enriched Calculus,"b'ourses: CAS MA 122, MA 124, MA 127, or MA 129. For students with prior experience in calculus. Emphasizes material from the end of Calculus 2 (sequences, Taylor series), reviews more challenging problems from Calculus 1. Carries MCS divisional credit in CAS.'"
mathematics-statistics,129,Honors Calculus,"b'courses: CAS MA 122, MA 124, MA 127, or MA 129. Alternative to CAS MA 127 for advanced students with a deep interest in mathematics. Continuity, degrees of differentiability, integrability. Transcendental functions. Techniques of differentiation and integration. Sequences, series, summability, uniform convergence. Complex numbers, Taylor series. Application to mechanics, probability. Carries MCS divisional credit in CAS.'"
mathematics-statistics,150,Investigations in Geometry,"b'vestigate topics in Euclidean and non-Euclidean geometry starting from  basic elementary material and leading to an overview of current research topics.  Does not satisfy MCS Divisional requirement. Does satisfy CAS WR 150 requirement.  This course fulfills a single unit in each of the following BU Hub areas:  Quantitative Reasoning II, Writing: Research &amp; Inquiry, Research and Information  Literacy.'"
mathematics-statistics,193,Discrete Mathematics for Engineering,b'phasis on applications to the engineering discipline. (Cannot be taken for credit in addition to CAS MA 293.)'
mathematics-statistics,213,Basic Statistics and Probability,"b'pendence, the central limit theorem, confidence intervals, and p-values.  Students will be able to answer questions such as how can a pollster use a  sample to predict the uncertainty of an election? Carries MCS divisional credit  in CAS. This course fulfills a single unit in each of the following BU Hub  areas: Quantitative Reasoning II, Teamwork/Collaboration.'"
mathematics-statistics,214,Applied Statistics,"b'n,  tests for normality; two-sample comparisons, regression and correlation,  tests for linearity and outliers, residual analysis, contingency tables,  analysis of variance. Carries MCS divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Quantitative  Reasoning II, Teamwork/Collaboration.'"
mathematics-statistics,225,Multivariate Calculus,"b""coordinates. Partial derivatives, directional derivatives, scalar and vector  fields, the gradient, potentials, approximation, multivariate minimization,  Stokes's and related theorems. (Cannot be taken for credit in addition to CAS  MA 230.) This course fulfills a single unit in the following BU Hub area:  Quantitative Reasoning II."""
