political-science,111,Introduction to American Politics,"b'utive, administrative agencies, and the judiciary. Relations  between formal institutions, parties, and interest groups. Carries social science  divisional credit in CAS. This course fulfills a single unit in the following BU  Hub area: Social Inquiry .'"
political-science,141,Introduction to Public Policy,b'apple with these questions. We also examine the question: how  do the politics of public policy affect racial and economic inequality? Carries  social science divisional credit in CAS. This course fulfills a single unit in  the following BU Hub area: Social Inquiry I.'
political-science,151,Introduction to Comparative Politics,"b'and contemporary politics in Europe, Latin America,  Africa, and Asia. Introduces the comparative method in political science and  competing theories of political development and political change. Carries  social science divisional credit in CAS. This course fulfills a single unit in  each of the following BU Hub areas: Social Inquiry I, Global Citizenship and  Intercultural Literacy.'"
political-science,171,Introduction to International Relations,"b's dominant international relations theories and their application. Investigates state system, international law and organization, transnational actors, state behavior, and globalization. Carries social science divisional credit in CAS. This course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Global Citizenship and Intercultural Literacy.'"
political-science,191,Introduction to Political Theory,"b""istorical and contemporary events and issues illustrate  and complicate analysis of conceptions of authority, justice, liberty, and  equality. Many definitions of government, law, and rights are considered.  Carries social science divisional credit in CAS. This course fulfills a single  unit in each of the following BU Hub areas: Philosophical Inquiry and Life's  Meanings, Ethical Reasoning, Critical Thinking."""
political-science,300,Special Topics in American Politics,"b'ffered Fall 2018. Section A1: Bombs and Bombshells: Gender and Political Violence. Delve  into the world of Black  Widows and Demon Lovers. Using empirical research, case studies, and  drama, this course  separates fact from fiction to examine  gender and its intersections  between recruitment, motivations, and conditions under which women behave violently. Also  offered as CAS WS 304 A1. Section B1: War on Drugs. Examines the modern history of the  United States\' ""War on Drugs,"" exploring both the international and domestic implications of  the U.S.\'s counter narcotics policy.'"
political-science,301,Presidential Leadership,b'personality and  leadership; and comparative study of selected presidents. This course cannot be taken for credit in  addition to the course with the same title that was previously numbered CAS PO 317.'
political-science,302,Congress and Its Critics,"b'lative process;  interactions with other branches; congressional elections; campaign finance; how Congress has  changed and may  evolve in the future. This course  cannot be taken for credit in addition to the  course with the title ""The Legislative Process in America"" that was previously numbered CAS  PO 311.'"
political-science,304,The Judicial Process,"b's and judges, the structure  of the  court system, juries, and legal reasoning. Primarily intended for students who have little  or no exposure to  law courses. This course cannot be taken for credit in addition to the course  with the same title that was previously numbered CAS PO 315.'"
political-science,306,Media and Politics in the United States,"b""to do. In  particular, relates our understanding of the press's role to contemporary media developments including  technological changes, corporate media ownership, and the re-amateurization of journalism.  This course  cannot be taken for credit in addition to the course with the same title that was previously numbered CAS  PO 324."""
political-science,307,Public Opinion in American Politics,"b'public opinion in the United States. In addition to this substantive focus,  the course is intended to foster the development of two skills: critical reading  and rigorous, careful and clear writing. This course fulfills a single unit in  the following BU Hub area: Social Inquiry I.'"
political-science,309,Women and Politics,"b""issues of women's relationship to  the processes of political influence, change, and empowerment. Analysis of public policy related to women and children. This course cannot be taken for credit in addition to the course with the same title that was  previously numbered CAS PO 342."""
political-science,313,The Politics and Policy of HBO's The Wire,"b's are covered, including the war on drugs, urban  elections, bureaucracy, rational choice theory, and the decline of American  cities. Also offered as CAS AA 313 This course fulfills a single unit in each of  the following BU Hub areas: Social Inquiry II, Ethical Reasoning.'"
political-science,314,Election Campaign Practicum,b'(at least 5 hours a week)  and framing and integrating that experience with critical reading of high quality research and journalism  and investigation of current election-related data.'
political-science,320,Special Topics in Public Policy,"b'government, contemporary local public policy challenges, and methods for doing policy  research. Students collaboratively work on real local government policy projects resulting in a  report back to municipal officials.'"
political-science,321,Foundations of American Public Policy,b'istorical perspectives are used to shed light on seemingly unique American solutions to pressing social  and economic problems. This course cannot be taken for credit in addition to the course with the same  title that was previously numbered CAS PO 343.'
political-science,324,Comparative Public Policy,"b'societies in such areas as health training, unemployment, poverty, and budget.  Explores why countries develop different solutions to policy needs, and evaluates the strengths and weaknesses of various national approaches. This course cannot be taken for credit in addition to the course with the same title that was previously numbered CAS  PO 341.'"
political-science,325,Campaigns and Elections Around the World,"b'ampaigns over   time; role of international political consultants; influence of party systems, electoral systems, campaign   finance regulation, vote buying, and mass media; campaign effects on voting behavior and public opinion.  This course cannot be taken for credit in addition to the course with the same title that was previously  numbered CAS PO 302.'"
political-science,327,Non-State Actors in International Relations,"b'ctors include subnational governments, international organizations, multinational corporations,   non-governmental organizations, religious groups, violent groups, for-profit security firms, social  movements, and grassroots organizations. This course cannot be taken for credit in addition to the course  with the same title that was previously numbered CAS PO 333.'"
political-science,330,Special Topics in Comparative Politics,"b'emocracy in the Middle East: Israel as a Case for Comparative Analysis. Examines how  Israel compares to other societies, especially the US, as a democracy, focusing on immigration,  refugee, security, and human rights issues. May be of interest to Americanists as well as  comparativists. Also counts towards minor in Jewish Studies. Section B1: Democratic Erosion.  Trends in American and European politics have engendered fears about a turn toward  authoritarianism where it was once unthinkable. Explores the causes and consequences of  democratic erosion, helping students to put recent developments into comparative and  historical perspective.'"
