womens-studies,101,Gender and Sexuality I: An Interdisciplinary Introduction ,"b""he origins, diversity, and expression of gendered and sexed   individuals. Topics include the evolutionary origin of sexes; evolution, development, and social   construction of sex, gender, and sexuality; sexual difference, similarities and diversity in bodies,   brains, and behavior. This interdisciplinary introduction is the required year-long gateway   sequence for the minor in Women's, Gender, and Sexuality Studies. Students who complete  both halves of the two-semester sequence WS 101/102 receive divisional studies credit for two  courses, from two different divisions: Natural Science (without lab), Social  Science, and/or  Humanities. Neither WS 101 nor WS 102 alone carries divisional studies credit. This course  fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's  Meanings, Scientific Inquiry I, Critical Thinking."""
womens-studies,102,Gender and Sexuality II: An Interdisciplinary Introduction,"b'oaches from the natural sciences, social sciences, and  humanities, with a focus on society and social relationships. We examine questions relating to  violence, inequality, and family formation through an interdisciplinary gender lens. Students  who complete both halves of the two-semester sequence WS 101/102 receive divisional studies  credit for two courses, from two different divisions: Natural Science (without lab), Social  Science, and/or Humanities. Neither WS 101 nor WS 102 alone carries divisional studies credit.  This course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Ethical  Reasoning, Critical Thinking.'"
womens-studies,200,Thinking Queerly: An Introduction to LGBTQ Studies,"b'interdisciplinary (and often, competing) theories and research.  Students gain skills in digital/multimedia  expression through the development of a  collaborative LGBTQ online magazine. This course fulfills a single unit in each of the following  BU Hub areas: Individual in Community, Digital/Multimedia Expression.'"
womens-studies,213,Sexism in the Twenty-First Century,"b'hances, with particular attention to how race, class, and sexuality intersect with gender to  shape social inequalities. This course fulfills a single unit in each of the following BU Hub areas:  Social Inquiry I, Global Citizenship and Intercultural Literacy.'"
womens-studies,233,The Evolutionary Biology of Human Variation,"b'theory, and genetics and considers how research in these fields informs some of our most  culturally-engaged identities: race, sex, gender, sexuality, and body type. Carries natural sciences  divisional credit (without lab) in CAS. Also offered as CAS AN 233.'"
womens-studies,240,Sexuality and Social Life,"b'f  sexuality, with a focus on the social and cultural institutions that shape sexuality in the  contemporary U.S. Carries social science divisional credit in CAS. Also offered as CAS SO 240.'"
womens-studies,241,Sociology of Gender,"b'ic, political, social,    and cultural forces that shape gender relations. Examines gender as a social structure that patterns    institutional inequalities and everyday interactions on society. Carries social sciences divisional credit in   CAS. Also offered as CAS SO 241.'"
womens-studies,263,The Behavioral Biology of Women,"b""aspects of women's lives from puberty through pregnancy, birth, lactation,  menopause, and aging. Examples are drawn from traditional and industrialized societies, and  data from nonhuman primates are considered. Also offered as CAS AN 263."""
womens-studies,297,African American Women's History,"b'ritical role in shaping the meaning of race, gender, and sexuality during slavery, Jim Crow,  and the civil rights era. Also offered as CAS AA 297 and CAS HI 297.'"
womens-studies,302,WGS Topics in the Social Sciences,"b'or credit as topics change. Topic for Fall 2018: Feminist Theories.  Survey of feminist  theories and development of strands of feminist ideas in the academy, popular culture, social  movements, and politics. Explores the intersections of gender, race, class, sexuality, and other  dimensions of identity, and pathways toward social change and empowerment.'"
womens-studies,303,WGS Topics in Film and Media,"b'or credit as topics change. May be repeated for credit if topic is different. Two topics are  offered Spring 2018. Section A1: Jane Campion: A Girl\'s Own Story. In-depth study of Jane  Campion, whose prolific output has largely resisted any attempt to represent ""the"" woman\'s  voice -- a pressure Campion has had to face due to being a rare female director working in a  male-dominated industry. Also offered as CAS CI 340 A1. Section B1: Middle East Gender and  Globalization. Exploration of the intersection of gender, sexuality, and globalization in Middle  Eastern films. Analysis and interrogation of films\' contributions to the construction of gender  and sexual norms in the late 20th and early 21st centuries. Also offered as CAS CI 390 C1 and  CAS XL 382 A1.'"
womens-studies,304,WGS Topics in Global and Transnational Studies,"b'for credit as topics change. Topics vary. May be taken multiple times for credit    providing the topic is different. Two topics are offered Fall 2018. Section A1: Bombs and  Bombshells: Gender and Political Violence. Delve into the world of Black Widows and Demon  Lovers. Using empirical research, case studies, and drama, this course separates fact from  fiction to examine gender and its  intersections between  recruitment, motivations, and  conditions under which women behave  violently. Also offered as CAS PO 300 A1. Section B1:  Change and Continuity on the Silk Road. Focused on the Central Asian portion of the Silk Road  from the border of China to Istanbul students explore written and visual texts to understand  shifts in gender dynamics in societies caught between Islam, communism, and globalization.  Also offered as CAS XL 381 A1.'"
